id,name,gender,year,place,url,image
5755,"Nogueira, Lucia",Female,1950,"Goiana, Brasil",http://www.tate.org.uk/art/artists/lucia-nogueira-5755,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
12131,"Smith, Keir",Male,1950,"Gravesend, United Kingdom",http://www.tate.org.uk/art/artists/keir-smith-12131,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1011,"Disler, Martin",Male,1949,"Solothurn, Schweiz",http://www.tate.org.uk/art/artists/martin-disler-1011,http://www.tate.org.uk/art/images/work/P/P07/P07840_7.jpg
2653,"Heindorff, Michael",Male,1949,Deutschland,http://www.tate.org.uk/art/artists/michael-heindorff-2653,http://www.tate.org.uk/art/images/work/P/P11/P11515_7.jpg
2155,"Winters, Terry",Male,1949,"Brooklyn, United States",http://www.tate.org.uk/art/artists/terry-winters-2155,http://www.tate.org.uk/art/images/work/P/P77/P77063_7.jpg
910,"Clark, Judy",Female,1949,"Portsmouth, United Kingdom",http://www.tate.org.uk/art/artists/judy-clark-910,http://www.tate.org.uk/art/images/work/T/T01/T01826_7.jpg
953,"Cragg, Tony",Male,1949,"Liverpool, United Kingdom",http://www.tate.org.uk/art/artists/tony-cragg-953,http://www.tate.org.uk/art/images/work/T/T03/T03347_7.jpg
846,"Cahn, Miriam",Female,1949,"Basel, Schweiz",http://www.tate.org.uk/art/artists/miriam-cahn-846,http://www.tate.org.uk/art/images/work/T/T04/T04921_7.jpg
2318,"Horsfield, Craigie",Male,1949,"Cambridge, United Kingdom",http://www.tate.org.uk/art/artists/craigie-horsfield-2318,http://www.tate.org.uk/art/images/work/T/T07/T07001_7.jpg
2388,"Frize, Bernard",Male,1949,"Saint-Mandé, France",http://www.tate.org.uk/art/artists/bernard-frize-2388,http://www.tate.org.uk/art/images/work/T/T07/T07079_7.jpg
2218,"Gibbons, John",Male,1949,Éire,http://www.tate.org.uk/art/artists/john-gibbons-2218,http://www.tate.org.uk/art/images/work/T/T07/T07443_7.jpg
3042,"Quadri, Saleem Arif",Male,1949,"Hyderabad, Bharat",http://www.tate.org.uk/art/artists/saleem-arif-quadri-3042,http://www.tate.org.uk/art/images/work/T/T07/T07710_7.jpg
986,"Deacon, Richard",Male,1949,"Bangor, United Kingdom",http://www.tate.org.uk/art/artists/richard-deacon-986,http://www.tate.org.uk/art/images/work/T/T07/T07867_7.jpg
7810,"Graham, Rodney",Male,1949,"Abbotsford, Canada",http://www.tate.org.uk/art/artists/rodney-graham-7810,http://www.tate.org.uk/art/images/work/T/T11/T11933_7.jpg
2000,"Stezaker, John",Male,1949,"Worcester, United Kingdom",http://www.tate.org.uk/art/artists/john-stezaker-2000,http://www.tate.org.uk/art/images/work/T/T12/T12346_7.jpg
10184,"Kennard, Peter",Male,1949,"London, United Kingdom",http://www.tate.org.uk/art/artists/peter-kennard-10184,http://www.tate.org.uk/art/images/work/T/T12/T12484_7.jpg
7504,"Ivekovic, Sanja",Female,1949,"Zagreb, Hrvatska",http://www.tate.org.uk/art/artists/sanja-ivekovic-7504,http://www.tate.org.uk/art/images/work/T/T12/T12852_7.jpg
1789,"Pope, Nicholas",Male,1949,"Sydney, Australia",http://www.tate.org.uk/art/artists/nicholas-pope-1789,http://www.tate.org.uk/art/images/work/T/T13/T13693_7.jpg
2759,"Bleckner, Ross",Male,1949,"New York, United States",http://www.tate.org.uk/art/artists/ross-bleckner-2759,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
14432,"Bruscky, Paulo",Male,1949,"Recife, Brasil",http://www.tate.org.uk/art/artists/paulo-bruscky-14432,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
2215,"Cucchi, Enzo",Male,1949,Italia,http://www.tate.org.uk/art/artists/enzo-cucchi-2215,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
2279,"Dunham, Carroll",Male,1949,"Old Lyme, United States",http://www.tate.org.uk/art/artists/carroll-dunham-2279,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1450,"Kushner, Robert",Male,1949,"Pasedena, United States",http://www.tate.org.uk/art/artists/robert-kushner-1450,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
